Date,New case,Cumul.new,Recovered,Cumul.rec,Death,Cumul.death
25/01/2020,3,3,0,0,0,0
26/01/2020,1,4,0,0,0,0
27/01/2020,0,4,0,0,0,0
28/01/2020,0,4,0,0,0,0
29/01/2020,3,7,0,0,0,0
30/01/2020,1,8,0,0,0,0
31/01/2020,0,8,0,0,0,0
01/02/2020,0,8,0,0,0,0
02/02/2020,0,8,0,0,0,0
03/02/2020,0,8,0,0,0,0
04/02/2020,2,10,1,1,0,0
05/02/2020,2,12,0,1,0,0
06/02/2020,2,14,0,1,0,0
07/02/2020,0,14,0,1,0,0
08/02/2020,2,16,1,2,0,0
09/02/2020,1,17,1,3,0,0
10/02/2020,1,18,0,3,0,0
11/02/2020,0,18,0,3,0,0
12/02/2020,0,18,0,3,0,0
13/02/2020,1,19,0,3,0,0
14/02/2020,0,19,4,7,0,0
15/02/2020,3,22,0,7,0,0
16/02/2020,0,22,0,7,0,0
17/02/2020,0,22,2,9,0,0
18/02/2020,0,22,0,9,0,0
19/02/2020,0,22,4,13,0,0
20/02/2020,0,22,2,15,0,0
21/02/2020,0,22,2,17,0,0
22/02/2020,0,22,0,17,0,0
23/02/2020,0,22,1,18,0,0
24/02/2020,0,22,0,18,0,0
25/02/2020,0,22,2,20,0,0
26/02/2020,0,22,0,20,0,0
27/02/2020,0,22,0,20,0,0
28/02/2020,3,25,2,22,0,0
29/02/2020,0,25,0,22,0,0
01/03/2020,4,29,0,22,0,0
02/03/2020,0,29,0,22,0,0
03/03/2020,7,36,0,22,0,0
04/03/2020,14,50,0,22,0,0
05/03/2020,5,55,0,22,0,0
06/03/2020,28,83,1,23,0,0
07/03/2020,10,93,0,23,0,0
08/03/2020,6,99,1,24,0,0
09/03/2020,18,117,0,24,0,0
10/03/2020,12,129,1,25,0,0
11/03/2020,20,149,1,26,0,0
12/03/2020,9,158,6,32,0,0
13/03/2020,39,197,1,33,0,0
14/03/2020,41,238,2,35,0,0
15/03/2020,190,428,7,42,0,0
16/03/2020,125,553,0,42,0,0
17/03/2020,120,673,7,49,2,2
18/03/2020,117,790,11,60,0,2
19/03/2020,110,900,15,75,0,2
20/03/2020,130,1030,12,87,1,3
21/03/2020,153,1183,27,114,5,8
22/03/2020,123,1306,25,139,2,10
23/03/2020,212,1518,20,159,4,14
24/03/2020,106,1624,24,183,1,15
25/03/2020,172,1796,16,199,4,19
26/03/2020,235,2031,16,215,4,23
27/03/2020,130,2161,44,259,3,26
28/03/2020,159,2320,61,320,1,27
29/03/2020,150,2470,66,386,7,34
30/03/2020,156,2626,91,477,3,37
31/03/2020,140,2766,58,535,6,43
01/04/2020,142,2908,108,643,2,45
02/04/2020,208,3116,122,765,5,50
03/04/2020,217,3333,60,825,3,53
04/04/2020,150,3483,88,913,4,57
05/04/2020,179,3662,90,1003,4,61
06/04/2020,131,3793,236,1239,1,62
07/04/2020,170,3963,80,1319,1,63
