Date,Cumul.new,Cumul.rec,Cumul.death
25/01/2020,3,0,0
26/01/2020,4,0,0
27/01/2020,4,0,0
28/01/2020,4,0,0
29/01/2020,7,0,0
30/01/2020,8,0,0
31/01/2020,8,0,0
01/02/2020,8,0,0
02/02/2020,8,0,0
03/02/2020,8,0,0
04/02/2020,10,1,0
05/02/2020,12,1,0
06/02/2020,14,1,0
07/02/2020,14,1,0
08/02/2020,16,2,0
09/02/2020,17,3,0
10/02/2020,18,3,0
11/02/2020,18,3,0
12/02/2020,18,3,0
13/02/2020,19,3,0
14/02/2020,19,7,0
15/02/2020,22,7,0
16/02/2020,22,7,0
17/02/2020,22,9,0
18/02/2020,22,9,0
19/02/2020,22,13,0
20/02/2020,22,15,0
21/02/2020,22,17,0
22/02/2020,22,17,0
23/02/2020,22,18,0
24/02/2020,22,18,0
25/02/2020,22,20,0
26/02/2020,22,20,0
27/02/2020,22,20,0
28/02/2020,25,22,0
29/02/2020,25,22,0
01/03/2020,29,22,0
02/03/2020,29,22,0
03/03/2020,36,22,0
04/03/2020,50,22,0
05/03/2020,55,22,0
06/03/2020,83,23,0
07/03/2020,93,23,0
08/03/2020,99,24,0
09/03/2020,117,24,0
10/03/2020,129,25,0
11/03/2020,149,26,0
12/03/2020,158,32,0
13/03/2020,197,33,0
14/03/2020,238,35,0
15/03/2020,428,42,0
16/03/2020,553,42,0
17/03/2020,673,49,2
18/03/2020,790,60,2
19/03/2020,900,75,2
20/03/2020,1030,87,3
21/03/2020,1183,114,8
22/03/2020,1306,139,10
23/03/2020,1518,159,14
24/03/2020,1624,183,15
25/03/2020,1796,199,19
26/03/2020,2031,215,23
27/03/2020,2161,259,26
28/03/2020,2320,320,27
29/03/2020,2470,386,34
30/03/2020,2626,477,37
31/03/2020,2766,535,43
01/04/2020,2908,643,45
02/04/2020,3116,765,50
03/04/2020,3333,825,53
04/04/2020,3483,913,57
05/04/2020,3662,1003,61
06/04/2020,3793,1239,62
07/04/2020,3963,1321,63
